,tweets,polarity
44,4 Simple Ways You Can Find Your Wedding Ring Size https://t.co/uAi79HB9S5 https://t.co/GW8LLaBzfr,0.0
45,RT @LeadershipNGA: https://t.co/f7EXoiknpa https://t.co/f7EXoiknpa,0.0
46,"RT @SpokesManAtiku: Reports in the media that @atiku hosted a 400 person meeting in Dubai are false. For the avoidance of doubt, ours was n",-0.4
47,RT @npy4Atiku: We are Atikufying everywhere. The campaign of blackmail and lies by the @APCNigeria  will not detter us from promoting the i,0.0
48,"RT @SpokesManAtiku: Reports in the media that @atiku hosted a 400 person meeting in Dubai are false. For the avoidance of doubt, ours was n",-0.4
49,@RealOlaudah for your mind you think that any reasonal yoruba person will leave buhari for atiku with all the infrastructure going on in sw,0.0
50,"RT @AdabanijaQomaru: These are the set of people asking for @MBuhari's certificate!!! 
Graduates from American University of Nigeria.
The A",0.0
51,"Atiku Needs Crash Course On Economy, Says Oduduwa Group https://t.co/2BoeW8fF0P via @Iporich",0.0
52,"RT @gnwa2019: Who is @atiku Abubakar?
Find out more about the businessman, the mentor and the man to get Nigeria working again.

Click on t",0.5
53,"RT @DailyPostNGR: 2019: Tinubu made a foolish mistake with Buhari, Yorubas will vote Atiku  Afenifere https://t.co/hmBag8weV1 https://t.",0.0
54,"RT @DeeOneAyekooto: If Adebanjo wins his polling Unit in Ijebu Ode for Atiku, I will buy him a new cap!!!",0.283167613636
55,@SpokesManAtiku @atiku but we know it was all false. Just that this response coming late also gave the Lies some credence and us reactionary,-0.35
56,"RT @zinadabo1: Allahu Akbar, we will spend sleepless night to see an Atiku Presidency become a reality in 2019 Insha Allah

History will ne",0.0
57,"RT @DailyPostNGR: 2019: Tinubu made a foolish mistake with Buhari, Yorubas will vote Atiku  Afenifere https://t.co/hmBag8weV1 https://t.",0.0
58,"Pagi pagi udah sakit atiku. Human kadang suka jahat mulutnya :""(",0.0
59,@OfficialPDPNig @MBuhari @EmmanuelMacron @GovWike @USEmbassyAbuja @GovIfeanyiOkowa @nassnigeria @bukolasaraki https://t.co/i1cSX23aiu,0.0
60,RT @sunbebe1: @Tunjai @adeyanjudeji Because he's a good man. My late Father told me so much about him and for more than 20years of my life,0.275
61,"RT @gnwa2019: Who is @atiku Abubakar?
Find out more about the businessman, the mentor and the man to get Nigeria working again.

Click on t",0.5
62,This is how Nigeria got it wrong... @MBuhari @ArewaYouthForum @elrufai @ogundamisi @PoliceNG @HQNigerianArmy @atiku https://t.co/xEPy3CxjoR,-0.5
63,"RT @Nigerianey: POLL: @Mbuhari or @atiku 

If Nigeria's Presidential Election Holds Today Between Abubakar Atiku And Muhammadu Buhari Who W",0.0
64,We should all be self empowered because we have been raise through a hard smile and weeping heart. We deserve a goo https://t.co/hANT7OLAzx,0.00416666666667
65,RT @sidramatics: Gentle reminder that Muhammadu Buhari will win his re-election in February 2019 and there is nothing Atiku dollars can do,0.5
66,"Until we separate looters from hard working Nigerians,the next generation of youths will think looting is a career.
Atiku on my mind.",-0.145833333333
67,"RT @DailyPostNGR: 2019: Tinubu made a foolish mistake with Buhari, Yorubas will vote Atiku  Afenifere https://t.co/hmBag8weV1 https://t.",0.0
68,RT @kenelernest: @SpokesManAtiku @atiku We are atikulating obidiently https://t.co/uZ3Q0nikqp,0.0
69,"RT @APCUKingdom: [BREAKING]

Peter Obi [@PeterGregoryObi] SLAMS @OfficialPDPNig and @atiku.

PDP looted and shared Nigeria's commonwealth i",-0.75
70,"RT @Nigerianey: POLL: @Mbuhari or @atiku 

If Nigeria's Presidential Election Holds Today Between Abubakar Atiku And Muhammadu Buhari Who W",0.0
71,@atiku and his team left no footprint we could point to today. They just had d good fortune of a steadily increasin https://t.co/H28XW58onV,0.288888888889
72,RT @jlloyd1212: 2 Out Of 3 Indicted With Seruous Crimes &amp; Republican Contestants In The US Elections Have Won Their Seats &amp; The 3rd Likely,0.0
73,"RT @ogundamisi: FLASHBACK! @HSBC and 4 other UK   banks 'aided Nigeria corruption'

@HSBC want @atiku as it is no longer business as usua",-0.125
74,"RT @DailyPostNGR: 2019: Tinubu made a foolish mistake with Buhari, Yorubas will vote Atiku  Afenifere https://t.co/hmBag8weV1 https://t.",0.0
75,"Plisssssss
Sirahku sg dielus2
Atiku sg ambyarrrr
Ya allahhhh
Helpppp",0.0
76,"RT @princeGiwaA: Stop pretending/Seeking cheap political point as if you care, how well have you treat National Legilative aides that you s",0.2
77,RT @Yan_biyu_: Retweet for Buhari @MBuhari and like for Atiku @atiku https://t.co/yol5qnsWaP,0.0
78,"RT @YogaAryoW: @askmenfess Urip rasah spaneng raono koe aku ayem, urip rasah spaneng raono koe aku seneng.. oramasalah sabarku turahtudah k",0.0
79,"RT @bukolasaraki: As we prepare to show Nigerians our partys vision for the future, this evening, I inspected Legacy House, the office bui",0.0
80,RT @amenahuruemu: Atiku you had 8years as vice President but our trains never worked and you come here to talk about getting Nigeria to wor,0.0
81,@bukolasaraki @atiku @OnemolaOlu @officialKolaO @OfficialPDPNig @gnwa2019 @wagzie01 @babaidris090 @_walebakare https://t.co/FujSRM67gb,0.0
82,I wish @atiku and @SpokesManAtiku will tell their supporters that they can't stop #TheAverageBuharist loving Buhari https://t.co/d1M0iWeYvU,0.6
83,@benmurraybruce @MBuhari @atiku That is how people with no vision behaved in our society today.,0.0
84,RT @ogundamisi: FACT-CHECK: @atiku LIED @TheEconomist DID NOT endorse Atiku for the position of @NGRPresident https://t.co/ddszy2HqWY,0.0
85,"RT @SpokesManAtiku: Reports in the media that @atiku hosted a 400 person meeting in Dubai are false. For the avoidance of doubt, ours was n",-0.4
86,"RT @gnwa2019: Who is @atiku Abubakar?
Find out more about the businessman, the mentor and the man to get Nigeria working again.

Click on t",0.5
87,Why Buhari must keep his word-Atiku https://t.co/XD30Les6OA https://t.co/0ngb5shQEt,0.0
88,"Kowe pernah ono neng atiku,  janji ora bakal ninggalke aku!",0.0
89,@DanisaDawo @i_stand_4_truth @segalink @Papadonkee @atiku @SowunmiSegun @AtikuOrg @APCNigeria @MBuhari https://t.co/OpShqgcPvO,0.0
90,"RT @gnwa2019: Who is @atiku Abubakar?
Find out more about the businessman, the mentor and the man to get Nigeria working again.

Click on t",0.5
91,RT @Yan_biyu_: Retweet for Buhari @MBuhari and like for Atiku @atiku https://t.co/yol5qnsWaP,0.0
92,@Nigerianey @MBuhari @atiku @MBuhari is the Man for job once more Obasanjo has finished @atiku politically and He h https://t.co/jMGoe8dzpV,0.25
93,RT @sidramatics: Gentle reminder that Muhammadu Buhari will win his re-election in February 2019 and there is nothing Atiku dollars can do,0.5
94,RT @titilayo_maryam: @UgochiJaneTrump @bukolasaraki @atiku @OnemolaOlu @officialKolaO @OfficialPDPNig @gnwa2019 @wagzie01 @babaidris090 @_w,0.0
95,"Tresnomu koyo telo isone mung nyereti, tresnomu wis luntur mending aku mundur ketimbang atiku ajur. *gubrak jengjengjeng*",0.0
96,@ObaloluwaT @Olayemi790 @AliObaje @osquare78 @SpokesManAtiku @atiku I can't see any.,0.0
97,"RT @SpokesManAtiku: Reports in the media that @atiku hosted a 400 person meeting in Dubai are false. For the avoidance of doubt, ours was n",-0.4
98,@AliObaje @osquare78 @SpokesManAtiku @atiku Good Reply.,0.7
99,RT @Yan_biyu_: Retweet for Buhari @MBuhari and like for Atiku @atiku https://t.co/yol5qnsWaP,0.0
100,"RT @DailyPostNGR: 2019: Tinubu made a foolish mistake with Buhari, Yorubas will vote Atiku  Afenifere https://t.co/hmBag8weV1 https://t.",0.0
101,"RT @Nigerianey: POLL: @Mbuhari or @atiku 

If Nigeria's Presidential Election Holds Today Between Abubakar Atiku And Muhammadu Buhari Who W",0.0
102,"RT @SpokesManAtiku: Reports in the media that @atiku hosted a 400 person meeting in Dubai are false. For the avoidance of doubt, ours was n",-0.4
103,@theonce001 @PDPVanguard @MBuhari @PDPNYF @OlayinkaLere @Amaka_Ekwo @officialKolaO @bolanle_cole @john_danfulani https://t.co/Ybq5RzFWx7,0.0
104,"RT @SpokesManAtiku: Reports in the media that @atiku hosted a 400 person meeting in Dubai are false. For the avoidance of doubt, ours was n",-0.4
105,RT @FelixOvat: @sir_modilz @possiblelight @ogundamisi @elrufai @realFFK @atiku @osita_chidoka Why can't we be logically sound in our reason,0.4
106,"@SpokesManAtiku @atiku Just imagine, ordinary meeting at Dubai, why can't you hold it here? Lemme tell you in case https://t.co/8VldqJpL7o",-0.25
107,"@askmenfess Urip rasah spaneng raono koe aku ayem, urip rasah spaneng raono koe aku seneng.. oramasalah sabarku tur https://t.co/XIQgBnNKVp",0.0
108,"Saraki assures of Atiku's victory, inspects campaign council's hqtrs - https://t.co/jK7UvEf6de https://t.co/yizbT4Pihi",0.0
109,"@adeyanjudeji No fool,  Atiku is the oleeeeeee",0.0
110,Keep To Your Word On N30k Minimum Wage  Atiku Speaks On Why Buhari Cant BeTrusted https://t.co/QDwwsyIIH4 https://t.co/7Y9idA5e7z,0.0
111,"RT @Danitrask: Looking forward to a brighter  tomorrow can help us get through a gloomy today @grownigeria_ng 
@atiku @YouthsForAtiku http",0.0
112,RT @Yan_biyu_: Retweet for Buhari @MBuhari and like for Atiku @atiku https://t.co/yol5qnsWaP,0.0
113,"RT @Atiku4AsoVilla: Buhari is not corrupt. He is just a sneaky, non materialistic thief. RT if you will be voting @atiku in 2019 for a bett",0.25
114,"RT @cbngov_akin1: Tinubu made a foolish mistake with Buhari, Yorubas will vote Atiku  Afenifere - Chief Ayo Adebanjo

He said he has thr",0.0
115,"RT @DanisaDawo: Did you know?
In 2017,Nigeria sold Oil &amp; Gas worth 104 Billion Dollars, only 38 Billion went to the account of Nigeria.- Fe",0.15
116,"RT @AdabanijaQomaru: These are the set of people asking for @MBuhari's certificate!!! 
Graduates from American University of Nigeria.
The A",0.0
117,RT @Yan_biyu_: Retweet for Buhari @MBuhari and like for Atiku @atiku https://t.co/yol5qnsWaP,0.0
118,RT @avinashpradana: sepurane bukane aku wegah mengubungimu  tapi awak ku sadar nek dudu prioritasmu opo meneh ganggu wektumu perkoro aku.yo,0.0
119,RT @ogundamisi: FACT-CHECK: @atiku LIED @TheEconomist DID NOT endorse Atiku for the position of @NGRPresident https://t.co/ddszy2HqWY,0.0
120,RT @PremiumTimesng: FACT-CHECK: Did the Economist Magazine really endorse Atiku? https://t.co/v2EhyOpCrK,0.2
121,RT @SalihuAmumini: I am writing today to express my support for your campaign and my intention both to vote for you in the upcoming electio,0.0
122,@OfficialPDPNig @MBuhari @OfficialAPCNg @atiku @GovIfeanyiOkowa @bukolasaraki @renoomokri @GovAyoFayose https://t.co/pwRWBHitBY,0.0
123,RT @NALOWA1: The Case for Our #leaders at the #FederalHighCourt Abuja Nigeria has been adjourned to 21st January 2019 for Hearing. Let Us C,0.0
124,RT @sidramatics: Gentle reminder that Muhammadu Buhari will win his re-election in February 2019 and there is nothing Atiku dollars can do,0.5
125,"RT @TBRVorg: Everyday, you curse the people that foisted Buhari on Nigeria and everyday, you campaign for Atiku who sponsored Buhari

Who a",-0.2
126,"RT @Nigerianey: POLL: @Mbuhari or @atiku 

If Nigeria's Presidential Election Holds Today Between Abubakar Atiku And Muhammadu Buhari Who W",0.0
127,@UwakweIzuchukwu @bcilori @odionism @YeleSowore @atiku Whats your point??,0.0
128,RT @avinashpradana: sepurane bukane aku wegah mengubungimu  tapi awak ku sadar nek dudu prioritasmu opo meneh ganggu wektumu perkoro aku.yo,0.0
129,"RT @Forever_Rayyan: There is so much left to do in nigeria  Rip Yar'adau
@OfficialPDPNig @kcnaija @zinadabo1 @YouthsForAtiku @DanielOm",0.0
130,Minimum wage: Atiku lampoons Buhari presidency over insincerity https://t.co/HEOT9BE1RS,0.0
131,RT @Yan_biyu_: Retweet for Buhari @MBuhari and like for Atiku @atiku https://t.co/yol5qnsWaP,0.0
132,Keep To Your Word On N30k Minimum Wage  Atiku Speaks On Why Buhari Cant Be Trusted https://t.co/wT6E0IwSLg,0.0
133,RT @OlasubomiBola: The Country at this moment needs a detribalized Nigerian and a Respecter of All Religions. @atiku Is the Man that Can do,0.0
134,"RT @SpokesManAtiku: Reports in the media that @atiku hosted a 400 person meeting in Dubai are false. For the avoidance of doubt, ours was n",-0.4
135,"RT @Sh4Zk: Protesters in Sweden ,Lucknow, India demand the #Freedom of Sh #Zakzaky from basesless &amp; fallacious detention 
#ZariaMassacre
#F",0.0
136,@OfficialPDPNig @MBuhari @EmmanuelMacron @GovWike @USEmbassyAbuja @GovIfeanyiOkowa @nassnigeria @bukolasaraki https://t.co/byqdRMNtjJ,0.0
137,Person who says it cannot be done should not interrupt the person who is doing it. Atiku 2019 .. https://t.co/9cKWM8rNyC,0.0
138,"RT @jyoungiec: PARA PENONTON IJINKAN SAYA JANG WONYOUNG MENJADI BIDUAN BARU DI NEW PXLAPA ORKES. SAWER SAYA CINGOO.

Sayang opo kowe krungu",0.136363636364
139,"RT @adeyanjudeji: Once again, I repeat:
None of the candidates in the mushroom parties will be able to win their LGA in February with excep",0.65
140,@abbati35 @APCNigeria @MBuhari @atiku https://t.co/Tw237EispF,0.0
141,"RT @Nigerianey: POLL: @Mbuhari or @atiku 

If Nigeria's Presidential Election Holds Today Between Abubakar Atiku And Muhammadu Buhari Who W",0.0
142,RT @sunbebe1: @Tunjai @adeyanjudeji Because he's a good man. My late Father told me so much about him and for more than 20years of my life,0.275
143,"@RiRiJreeng kata komandan,dek luki manis besok nonton yuuk,jangan ngancurin perabotan dapur lagi yaa,  mmng manis b https://t.co/kXlI4a036N",0.0
144,RT @firsNigeria: @Solution464 @ogundamisi @HSBC @atiku @MBuhari See https://t.co/MVQ7fCYLNX,0.0
145,RT @Yan_biyu_: Retweet for Buhari @MBuhari and like for Atiku @atiku https://t.co/yol5qnsWaP,0.0
146,@bhyuneaw @mesolhan @mezoyez Jerte atiku,0.0
147,RT @avinashpradana: sepurane bukane aku wegah mengubungimu  tapi awak ku sadar nek dudu prioritasmu opo meneh ganggu wektumu perkoro aku.yo,0.0
148,"RT @DailyPostNGR: 2019: Tinubu made a foolish mistake with Buhari, Yorubas will vote Atiku  Afenifere https://t.co/hmBag8weV1 https://t.",0.0
149,RT @Mr_JAGs: Delete ur Strike drafts sir @atiku,0.0
150,"RT @SpokesManAtiku: Reports in the media that @atiku hosted a 400 person meeting in Dubai are false. For the avoidance of doubt, ours was n",-0.4
151,RT @favourdesimhi: @SpokesManAtiku @atiku Buhari was away in UK for almost 6months on tax payers money and no one was bold enough to sue hi,0.166666666667
152,"RT @DailyPostNGR: 2019: Tinubu made a foolish mistake with Buhari, Yorubas will vote Atiku  Afenifere https://t.co/hmBag8weV1 https://t.",0.0
153,"RT @bukolasaraki: As we prepare to show Nigerians our partys vision for the future, this evening, I inspected Legacy House, the office bui",0.0
154,"PARA PENONTON IJINKAN SAYA JANG WONYOUNG MENJADI BIDUAN BARU DI NEW PXLAPA ORKES. SAWER SAYA CINGOO.

Sayang opo ko https://t.co/8JnBA9PqOR",0.136363636364
155,"RT @Ginigolde: It's surely not amnesia
dementia or Alzheimer
but I can't remember reading
how APC was to do promised abracadabra
of $1=N1 o",-0.25
156,"RT @SpokesManAtiku: Reports in the media that @atiku hosted a 400 person meeting in Dubai are false. For the avoidance of doubt, ours was n",-0.4
157,RT @YorubaNewsAlert: Ir poo ni @atiku pa  @TheEconomist oo fw s yiyan Atiku gg b oludije s ip r.  b n leru gidi p Atiku,0.0
158,RT @Yan_biyu_: Retweet for Buhari @MBuhari and like for Atiku @atiku https://t.co/yol5qnsWaP,0.0
159,"RT @jeffphilips1: By the time the Odumakins finish with @atiku, he will not recognize his bank accounts anymore https://t.co/bENPY2Sjdf",0.0
160,"RT @TheNationNews: Buhari, Atiku clash over N30,000 minimum wage https://t.co/Erx177Y0Ok",0.0
161,"RT @Nigerianey: POLL: @Mbuhari or @atiku 

If Nigeria's Presidential Election Holds Today Between Abubakar Atiku And Muhammadu Buhari Who W",0.0
162,"RT @GabrielUdokachi: The four (4) types of Atiku supporters:

1. Educated moron 
2. Factory fitted mumu
3. Crack heads
4. ""Money go flow"" t",-0.8
163,@Sobalojuayonit4 @renoomokri Apart from the cote atiku part,0.0
164,"RT @TheNationNews: Buhari, Atiku clash over N30,000 minimum wage https://t.co/Erx177Y0Ok",0.0
165,RT @Hailfinger1: The failed and discredited @MBuhari led @OfficialAPCNg government has been busted once again for lying to Nigerians. They,-0.5
166,"Buhari, Atiku clash over N30,000 minimum wage https://t.co/Erx177Y0Ok",0.0
167,RT @NALOWA1: The Case for Our #leaders at the #FederalHighCourt Abuja Nigeria has been adjourned to 21st January 2019 for Hearing. Let Us C,0.0
168,"Buhari, Osinbajo collecting hardship allowance while workers are suffering Atiku https://t.co/uFQsvDOFYd",0.0
169,"Buhari, Osinbajo collecting hardship allowance while workers are suffering Atiku https://t.co/VskZxcfMC2",0.0
170,"Buhari, Osinbajo collecting hardship allowance while workers are suffering Atiku https://t.co/BK5AvmDej7",0.0
171,Atiku took 400 persons on a trip to Dubai to perfect plans on how to sell our National Assets and share the money. https://t.co/BIYWkkdA8u,1.0
172,"RT @YouthsForAtiku: Ofe nsala or stew 
@atiku https://t.co/0ck4QXQ8My",0.0
173,"RT @Nigerianey: POLL: @Mbuhari or @atiku 

If Nigeria's Presidential Election Holds Today Between Abubakar Atiku And Muhammadu Buhari Who W",0.0
174,"RT @EMS_handle: Only if @APCNigeria know that vituperation of @atiku only makes him more popular, they'd stay on their own lane

#ATIKUlate",0.34
175,"RT @Nigerianey: POLL: @Mbuhari or @atiku 

If Nigeria's Presidential Election Holds Today Between Abubakar Atiku And Muhammadu Buhari Who W",0.0
176,"Buhari, Atiku clash over N30,000 minimum wage https://t.co/7uyTRTKtRo",0.0
177,"RT @dmightyangel: You tried to do PR for Dakwambo
You tried to do PR for SARAKI
You tried to do PR for Tambuwa
You tried to do PR for Kwank",0.0
178,"RT @DailyPostNGR: 2019: Tinubu made a foolish mistake with Buhari, Yorubas will vote Atiku  Afenifere https://t.co/hmBag8weV1 https://t.",0.0
179,RT @trueNija: 99.9% of @atiku supporters are supporting him because of naira &amp; dollar. While 99.9% of @MBuhari supporters are supporting hi,0.25
180,"RT @Nigerianey: POLL: @Mbuhari or @atiku 

If Nigeria's Presidential Election Holds Today Between Abubakar Atiku And Muhammadu Buhari Who W",0.0
181,RT @favourdesimhi: @SpokesManAtiku @atiku Buhari was away in UK for almost 6months on tax payers money and no one was bold enough to sue hi,0.166666666667
182,RT @adeyanjudeji: Atiku will win Taraba State by landslide.,0.8
183,"@SpokesManAtiku @atiku U Dont need to explain to those brainless people called APC,",0.0
184,Keep To Your Word On N30k Minimum Wage  Atiku Speaks On Why Buhari Cant Be Trusted https://t.co/0l3cHDtdei,0.0
185,"RT @DailyPostNGR: 2019: Tinubu made a foolish mistake with Buhari, Yorubas will vote Atiku  Afenifere https://t.co/hmBag8weV1 https://t.",0.0
186,"RT @EMS_handle: Only if @APCNigeria know that vituperation of @atiku only makes him more popular, they'd stay on their own lane

#ATIKUlate",0.34
187,"Funny stuff never cease to happen in my Nigeria.A politician that wants to be President of Nigeris,cannot find a su https://t.co/Mxa2Gh95vP",0.225
188,"According to INEC, young people aged 18-46 made up 74% of the total accredited votes cast during the 2015 elections https://t.co/yf8SgJlZsU",0.0
189,"Sugeng ambal warso 95 persis solo
Koe neng njero atiku
Ora bakal ono liane

Musim depan wajib naik kasta https://t.co/5L9O2YkKiv",0.0
190,"RT @DailyPostNGR: 2019: Tinubu made a foolish mistake with Buhari, Yorubas will vote Atiku  Afenifere https://t.co/hmBag8weV1 https://t.",0.0
191,"RT @DailyPostNGR: 2019: Tinubu made a foolish mistake with Buhari, Yorubas will vote Atiku  Afenifere https://t.co/hmBag8weV1 https://t.",0.0
192,RT @oladipupo01: @SpokesManAtiku @atiku Buharist and their Lifelessness Mediocrity oh God please come and deliver us on time from this good,0.25
193,RT @Yan_biyu_: Retweet for Buhari @MBuhari and like for Atiku @atiku https://t.co/yol5qnsWaP,0.0
194,@SpokesManAtiku @atiku Buharist and their Lifelessness Mediocrity oh God please come and deliver us on time from th https://t.co/OdEg23b55A,-0.2
195,"@SpokesManAtiku @atiku This is understandable because many leaders from the Middle East, especially those from Duba https://t.co/bcv8GUN240",0.166666666667
196,RT @Yan_biyu_: Retweet for Buhari @MBuhari and like for Atiku @atiku https://t.co/yol5qnsWaP,0.0
197,"RT @bukolasaraki: As we prepare to show Nigerians our partys vision for the future, this evening, I inspected Legacy House, the office bui",0.0
198,"@SpokesManAtiku @atiku This your Atiku, I can't trust him with my wife or money",0.0
199,RT @Yan_biyu_: Retweet for Buhari @MBuhari and like for Atiku @atiku https://t.co/yol5qnsWaP,0.0
200,"RT @MrSomoye: N-Power is mere handout - @atiku 

Handout? Well, dear sir! training and engaging 500,000 unemployed graduates as teachers,",-0.1125
201,"RT @mabziz: Truly, President Buhari doesnt need to spend any monies on political ads ... Atikus interviews &amp; unscripted statements ar",0.0
202,RT @Hailfinger1: The failed and discredited @MBuhari led @OfficialAPCNg government has been busted once again for lying to Nigerians. They,-0.5
203,"RT @KolaradoPoet: ""Love and God is my way, focus On what matters,God forbid I Pride in mesa, ATIKU is favored, composed two great songs for",0.7
204,@favourdesimhi @SpokesManAtiku @atiku Did ur Atiku that rule for 8 yrs fix the hospital? Ignorance wake up,0.0
205,"@HarleyQuinnng Shes a very important citizen please keep her safe for us
Hows 2019 going to look like ma??? Who i https://t.co/Vm9ejLawv4",0.51
206,@SpokesManAtiku @atiku I think the we should stop bordering ourself about what d hypocrite says; for that is what t https://t.co/eYuOz2qw6x,0.0
207,@OfficialPDPNig @MBuhari @EmmanuelMacron @GovWike @USEmbassyAbuja @GovIfeanyiOkowa @nassnigeria @bukolasaraki https://t.co/ttdqjYR7Ku,0.0
208,"My Prediction for 2019 Presidential election. Atiku will lose election, he will refuse to concede defeat, he will b https://t.co/jBNJe4o9mR",0.0
